PRODUCT NAME,PROD CODE,CATEGORY,MRP,DISCOUNT,GST%,SELLING RATE,SELLING RATE WITHOUT GST,HSN CODE,Image Src
1080 Reusable Silicone Airtight Leakproof Food Storage Bag - 1 ltr,1080,"Kitchen Storage, Container and Rack",299,0,18,299,253,391000,https://cdn.shopify.com/s/files/1/1916/9825/products/1080_1a21953e-a2de-4f9c-af26-a584ebbbdcb3.jpg?v=1615511209
0165 Silicone Ice Cube Maker,0165,"Kitchen Storage, Container and Rack",564,30,18,395,335,391000,https://cdn.shopify.com/s/files/1/1916/9825/products/0165.jpg?v=1617924367
1778 Aluminium Self Adhesive Foil Tape,1778,Hardware,599,35,18,389,330,391910,https://cdn.shopify.com/s/files/1/1916/9825/products/1778.jpg?v=1636625415
0326 Silicone Collapsible/Foldable Water Bottle,0326,"Kitchen Storage, Container and Rack",599,30,18,419,355,392310,https://cdn.shopify.com/s/files/1/1916/9825/products/0326.jpg?v=1618531525
2601 3 in 1 Kitchen Multipurpose Julienne Grater Salad Maker,2601,Kitchen Tools,699,10,12,629,562,392321,https://cdn.shopify.com/s/files/1/1916/9825/products/2601.jpg?v=1636009003
0906 Tamper Proof Courier Bags (12X16 inch) Pack of 100Pcs,0906,Other,699,5,18,664,563,392391,https://cdn.shopify.com/s/files/1/1916/9825/products/906.jpg?v=1635331539
0915 Temper Proof Courier Bags (12X14Inch) Pack Of 100Pcs,0915,Other,999,40,18,599,508,392391,https://cdn.shopify.com/s/files/1/1916/9825/products/0915.jpg?v=1634971038
0913 Tamper Proof Courier Bags (10X12inch) 100Pcs,0913,Other,999,45,18,549,466,392391,https://cdn.shopify.com/s/files/1/1916/9825/products/0913.jpg?v=1634966245
0916 Tamper Proof Courier Bags (12X16)  100Pcs,0916,Other,999,35,18,649,550,392391,https://cdn.shopify.com/s/files/1/1916/9825/products/0916.jpg?v=1634966199
2101 Folding Lightweight Plastic Stool (Black),2101,Kitchen Tools,499,10,18,449,381,392410,https://cdn.shopify.com/s/files/1/1916/9825/products/2101_56d9d15c-67bd-45ef-961e-a6a86e591a1e.jpg?v=1636954968
6024 Automatic Hands-Free Touch less Soap Dispenser with Auto Sensor (480ML),6024,Cleaning Supplies,599,30,18,419,355,392410,https://cdn.shopify.com/s/files/1/1916/9825/products/01_411d2e68-450c-4893-975f-2764a4af38ef.jpg?v=1635742887
2407 Plastic Spice Jars Dispenser Masala Rack Easy Flow Storage,2407,"Kitchen Storage, Container and Rack",499,10,18,449,381,392410,https://cdn.shopify.com/s/files/1/1916/9825/products/2407.jpg?v=1633781308
"0122 Plastic Spice Jars (6 pcs, 14x22x8cm, Multicolour)",0122,"Kitchen Storage, Container and Rack",299,0,18,299,253,392410,https://cdn.shopify.com/s/files/1/1916/9825/products/0122_df0c034d-407a-4a43-b391-1d1c33d68827.jpg?v=1632723687
