CATEGORY,MRP,product code,product name,DISCOUNT,GST,selling rate excl gst,hsn,
Chocolate,440,0041,0041 Chocolate almonds (96 GMs),15,18,317,180610,
Chocolate,436,0042,0042 Chocolate Roasted Cashew (96 Gms),10,18,333,180610,
Chocolate,470,0045,0045 Effete Almonds Chocolate  (96 Gms),15,18,339,180610,
Chocolate,495,0046,0046 Effete Hazelnuts Chocolate (96 Gms),15,18,357,180610,
Chocolate,310,0047,0047 Effete Peanut Chocolate (96 Gms),0,18,263,180610,
"Jams, Honey & Spreads",408,0051,0051 Strawberry spread (350 Gms),5,18,328,180610,
"Jams, Honey & Spreads",408,0052,0052 Milk Spread (350 Gms),5,18,328,180610,
"Jams, Honey & Spreads",475,0053,0053 Chocotown Spreads Cocoa spread,15,18,342,180610,
"Jams, Honey & Spreads",606,0054,0054 Choco Nutri Chocolate Spreads - Premium Hazelnuts Spreads - 350 gm,15,18,437,180610,
Kitchen,660,0057,0057 Digital Weighing Scale (10 Kg),30,18,392,392410,
"Kitchen Storage, Container & Rack",599,0058,0058 Electric lunch box,0,18,508,851690,
"Kitchen Storage, Container & Rack",564,0061,0061 Spice bottle 6pcs,30,18,335,392410,
"Kitchen Storage, Container & Rack",440,0062,0062 Smart Baskets for Storage(Set of 3),0,18,373,392690,
Kitchen,792,0068,0068 -4 In 1 Vegetable Grater Mandoline Slicer,30,18,470,392410,
Kitchen,660,0071,0071 Plastic Vegetable Chopper  (1000 ml),30,18,392,392410,
Kitchen Tools,572,0072,0072 Manual Food Chopper (Food Processor) (800 ml),35,18,315,392410,
Kitchen,452,0074,0074 Fruit and Vegetable Juicer nano or mini Juicer,5,18,364,392410,
Kitchen,645,0075,"0075 Dryfruit Box, Chocolates Box, Sweet Box, Mouth Freshener Box, Indian Mukhwas Box (Set of 4, Green)",0,18,547,392410,
Kitchen,440,0077,"0077 Dryfruit Box, Chocolates Box, Sweet Box, Mouth Freshener Box, Indian Mukhwas Box (Set of 2, Orange)",5,18,354,392410,
"Kitchen Storage, Container & Rack",380,0078,"0078 Plastic Aachar Pickle Container/Chutney/Mukhwas Tray/Masala Tray/Dining Spice Stand (Set of 4 Jar, 2 Spoon, 1 Tray,)",0,18,322,392410,
Kitchen,572,0079,0079 Manual 2 in 1 Handy smart chopper for Vegetable Fruits Nuts Onions Chopper Blender Mixer Food Processor (750 ml),20,18,388,392410,
Kitchen,1999,0082,"0082 Smokeless Electric Indoor Barbecue Grill, 2000w",35,18,1101,851660,
Kitchen,760,0083,0083 Stainless Steel French Fries Potato Chips Strip Cutter Machine,0,18,644,732393,
Kitchen,435,0089,089 Stainless Steel Vegetable Fruit Apple Pear Cutter Slicer,20,18,295,392321,
Kitchen,648,0090,"0090L Kitchen Press Set 12 pcs, Silver (Loose Packing)",20,18,439,392321,
"Kitchen Storage, Container & Rack",792,0095,0095 Revolving Plastic Spice Rack Masala Organiser (12 pcs ),15,18,571,392410,
"Kitchen Storage, Container & Rack",499,0096,0097 Revolving Plastic Spice Rack Masala Organiser (8 Pcs),10,18,381,392410,
"Kitchen Storage, Container & Rack",528,0097,"0098 Foldable Chopping Board, Dish Rack, Washing Bowl & Draining Basket, 3in1 Multi-Function",5,18,425,392410,
Kitchen,711,0098,"0098 Foldable Chopping Board, Dish Rack, Washing Bowl & Draining Basket, 3in1 Multi-Function",30,18,422,392410,
Kitchen,330,0099,0099 Square Plastic Gas Cylinder Trolley,5,18,266,392410,
"Kitchen Storage, Container & Rack",484,0100,0100 Plastic Spice Rack Masala Organiser (6 Pcs),10,18,369,392490,
Kitchen,495,0101,0101 Compact & Powerful Hand Held Vegetable Chopper (650 ml),25,18,315,392490,
Kitchen,660,0102,"0102 Kitchen Knife Set with Wooden Block and Scissors (5 pcs, Black)",35,18,364,392490,
"Kitchen Storage, Container & Rack",735,0103,0103 Revolving Plastic Spice Rack  (16 Pcs),5,18,592,392490,
Kitchen,700,0104,0104 New Stylish Stainless Steel Cutlery Set (24 pcs),20,18,475,732394,
Kitchen,435,0109,0109 Plastic Handheld Egg Cracker with Separator,20,18,295,392410,
Kitchen,720,0114,"0114 Virgin Plastic French Fry Chipser, Potato Chipser/Potato Slicer with Container",25,18,458,392410,
Kitchen Tools,699,0115,0115 Multi-Function 2 Layer 14 Egg Cooker Boilers & Steamer,20,18,474,392410,
Kitchen,652,0118,0118 Stainless Steel Gas Cylinder Trolley,10,18,497,732393,
Kitchen,684,0119,0119 french fries chipser (potato chipser),15,18,493,732393,
"Kitchen Storage, Container & Rack",490,0120,0120 Salt and Pepper Set with Tissue Holder Kitchen Dining Table,20,18,332,732393,
Kitchen,704,0121,0121 Portable USB Electric Juicer - 2 Blades (Protein Shaker),15,18,507,851660,
Kitchen,1266,0125,"0125 Stainless Steel Briefcase Style Barbecue Grill Toaster (Medium, Black)",0,18,1073,851660,
Kitchen,999,0126,"0126 Folding Barbeque Charcoal Grill Oven (Black, Carbon Steel)",15,18,720,851660,
"Kitchen Storage, Container & Rack",682,0128,"0128 Steel Lunch Box Set (5 pcs, Black)",0,18,578,732399,
Kitchen,645,0130,0130 Manual Gola Maker (Multicolour),0,18,547,392410,
Kitchen,754,0131,0131 Portable USB Electric Juicer - 4 Blades (Protein Shaker),15,18,543,850940,
Kitchen,826,0133,0133 Portable USB Electric Juicer - 6 Blades (Protein Shaker),15,18,595,850940,
Kitchen,464,0135,0135 Cordless Motorized Knife Blade Sharpener Tool,15,18,334,821490,
"Kitchen Storage, Container & Rack",360,0137,0137 A5 Size Notebook Plastic Bottle (Any color),15,18,259,392410,
Kitchen,652,0139,0139 Foldable Strainer Chef Basket,30,18,387,392410,
Kitchen,616,0140,0140 Plastic Multipurpose Manual Juicer,15,18,444,392410,
Kitchen,330,0141,0141 slicer 6 in 1,15,18,238,392410,
Kitchen,360,0145,0145 Stainless Steel Medu Vada Maker,10,18,275,732393,
Kitchen,360,0146,0146 Gas Cylinder Trolley,0,18,305,392410,
Kitchen,792,0153,0153 Electric Egg Boiler Poacher Steamer (7 Egg Poacher),25,18,503,392410,
Kitchen,495,0155,0155 Dough Maker Machine With Measuring Cup (Atta Maker),25,18,315,392410,
"Kitchen Storage, Container & Rack",485,0163,"0163 Multipurpose Pickle Jar Set (Multicolour, 4 pcs)",10,18,370,392410,
Kitchen,380,0164,0164 Primo Water Pump Dispenser Handle Carry Handle Convenient Spout Cap,15,18,274,392410,
"Kitchen Storage, Container & Rack",564,0165,0165 Silicone Ice Cube Maker,20,18,382,392410,
"Kitchen Storage, Container & Rack",415,0170,0170 Lunch Box (200 ml each Container) with Attractive Stand - 4 pcs,10,18,317,842310,
"Kitchen Storage, Container & Rack",360,0171,"0171 Plastic Container Set, 200ml, Set of 6",10,18,275,392410,
Other,400,0172,0172 Rubber Pet Cleaning Massaging Grooming Glove Brush,20,18,271,391000,
Home Improvement,350,0174,0174 Toothpaste Dispenser & Tooth Brush Holder,10,18,267,392690,
Other,740,0176,0176 Cat Interactive Toy (Cat Scratching Pad),20,18,502,350699,
Home Decor,902,0177,0177 03D Moon Lamp India/Moon Shaped Lamp/Led Moon Lamp/Lunar Moonlight Lamp - Multi Color,5,18,726,851679,
Kitchen,400,0178,0178 Kitchen Food Processor (Chop N Churn),5,18,322,392410,
Home Decor,485,0180,0180 Stainless Steel Electric Dhoop Dani,20,18,329,851679,
Security,744,0185,0185 Anti Theft Security Pad Lock with Smart Alarm,30,18,441,853110,
Security,435,0186,0186 Solid Imitation Copper Lock,20,18,295,830140,
Home Improvement,325,0188,0188 1000W-220V Water Heater Portable Electric Immersion Element Boiler,5,18,262,851617,
Home Improvement,792,0192,0192 Cloth Organizer Pouch Laundry Zipper Bags (6 pcs),30,18,470,851610,
Home Decor,440,0193,0193 QuickBurn Steel Kapoor Dani Stand,25,18,280,851610,
Home Improvement,345,0198,0198 Wall Mounted Mop & Broom Hanger Holder (1-Layer),10,18,263,392690,
Home Improvement,788,0199,0199 5-Layer Multipurpose Wall Mounted Organizer Mop And Broom Holder,30,18,467,392690,
Home Improvement,380,0200,0200 Toothpaste Dispenser & Tooth Brush with Toothbrush,15,18,274,392690,
Home Improvement,552,0201,0201  Dual Bladeless Mini Air Conditioner,25,18,351,392690,
Home Decor,360,0206,0206 Night Lamps White Flower Pot Color Changing Light & Mushrooms Light Sensor LED Decorative Night Lamp Night Lamp,15,18,259,940540,
Home Decor,552,0213,0213 Solar Security LED Night Light for Home Outdoor/Garden Wall (Black) (20-LED Lights),25,18,351,940540,
Security,412,0218,0218 -4 Digit Combination Padlock,15,18,297,830110,
Home Improvement,694,0219,"0219 Cushion Seat Flex Pillow, Gel Orthopedic Seat Cushion Pad (Egg Sitter)",5,18,559,392410,
Cleaning Supplies,792,0220,0220 Sweeper Floor Dust Cleaning Mop Broom with Dustpan 360 Rotary,10,18,604,392690,
Home Improvement,599,0223,0223 -2 in 1 Plastic Cleaning Brush Toilet Brush with Holder,5,18,482,392410,
