prod code,product name,,Variant Grams,Variant Price,Variant Compare At Price,Image Src,Cost per item,SHIPPING,GST,TOTAL,PAYOUT,TRAN CHRG,PROFIT,PURCHASE RATE,MRP,DISCOUNT,SELLING RATE
0297,PCI Roban the Rat Killer (Brown) Big,Repellents,103,40,200,https://cdn.shopify.com/s/files/1/1916/9825/products/0297_6e43cf5f-0857-4286-98bd-4a1d4aff83e5.jpg?v=1618531422,20,42,11,73,80,24,85,262,288,10,259
0872,"Hand Exerciser, Hand Gripper/Finger Strengthener",Sports,69,40,200,https://cdn.shopify.com/s/files/1/1916/9825/products/IMG-20200714-WA0037.jpg?v=1606575700,20,42,11,73,80,24,85,262,288,10,259
0092,Kitchen Small Knife with cover -,Kitchen,35,40,200,https://cdn.shopify.com/s/files/1/1916/9825/products/0092_852ef8a4-d49f-4559-acc2-0c84ce72d01a.jpg?v=1617924201,20,42,11,73,80,24,85,262,288,10,259
0179,A Deluxe Mango Cutter Chopper Slicer Machine,Kitchen,96,42,210,https://cdn.shopify.com/s/files/1/1916/9825/products/0179a.jpg?v=1618531178,21,42,11,74,80,24,85,263,289,10,260
0123,Banana Case Lunch Box Yellow,"Kitchen Storage, Container & Rack",100,44,210,https://cdn.shopify.com/s/files/1/1916/9825/products/0123.jpg?v=1617924278,22,42,12,76,80,24,85,265,292,10,262
0040,Chocolate peanuts (32 GMs),Chocolate,32,48,220,https://cdn.shopify.com/s/files/1/1916/9825/products/WhatsApp_Image_2019-06-26_at_7.16.42_PM_c9380c52-f848-4c50-91b7-0366a9a73a09.jpg?v=1606564324,24,42,12,78,80,24,85,267,294,10,265
1593,Multipurpose Small Rectangular Stainless Steel Adhesive Hooks (Set of 6),Home Improvement,68,46,238,https://cdn.shopify.com/s/files/1/1916/9825/products/1593SKUCODE.jpg?v=1614900174,23,42,12,77,80,24,85,266,293,10,264
0625,"Plastic Ice Cream Scoop, 1 pc, Green",Kitchen,78,44,240,https://cdn.shopify.com/s/files/1/1916/9825/products/1_f31b6745-b85f-4503-a704-081d1d475f46.jpg?v=1617924430,22,42,12,76,80,24,85,265,292,10,262
2416,Squeezer Extractor Tube Zero for Toothpaste Cream Lotion,Home Improvement,327,112,240,https://cdn.shopify.com/s/files/1/1916/9825/products/SKUCODE_a1a56cf5-d028-4092-a29d-214d11206083.jpg?v=1623953251,56,42,18,116,80,24,249,469,516,10,464
2423,Sprinkle Salt & Pepper Jar with Stand (Elegant Shape),Kitchen,239,118,240,https://cdn.shopify.com/s/files/1/1916/9825/products/01_84ef6a90-7788-4183-9083-7fb68d56535b.jpg?v=1624558866,59,42,18,119,80,24,92,315,346,10,311
3602,Plastic Setup Box Stand/Wall Mount and Remote Holder,Home Improvement,384,130,240,https://cdn.shopify.com/s/files/1/1916/9825/products/6215621.jpg?v=1606580206,65,42,19,126,80,24,93,323,355,10,319
0158,Vegetable Cutter with Peeler,Kitchen,200,46,250,https://cdn.shopify.com/s/files/1/1916/9825/products/0158.jpg?v=1617924344,23,42,12,77,80,24,85,266,293,10,264
0105,"Plastic Snack Bag Clip Sealer Set (18 Pcs, Multicolour)",Kitchen,93,50,250,https://cdn.shopify.com/s/files/1/1916/9825/products/0105.jpg?v=1617924221,25,42,12,79,80,24,86,269,295,10,266
1120,Silicon Sink Strainer Kitchen Drain Basin Basket Sink Drainer,"Kitchen Storage, Container & Rack",107,60,258,https://cdn.shopify.com/s/files/1/1916/9825/products/1120SKUCODE.jpg?v=1613085612,30,42,13,85,80,24,179,368,404,10,364
1586,"Bio-degradable Eco Friendly Garbage/Trash Bags Rolls (24"" x 32"") (Green) (Pack of 20)",Cleaning Supplies,150,62,258,https://cdn.shopify.com/s/files/1/1916/9825/products/1586SKUCODE.jpg?v=1618532344,31,42,13,86,80,24,87,277,304,10,274
1575,Garbage Bags Medium Size Black Colour (24 x 32) - 15 pcs,Cleaning Supplies,150,64,258,https://cdn.shopify.com/s/files/1/1916/9825/products/1575SKUCODE.jpg?v=1613085766,32,42,13,87,80,24,87,278,306,10,275
2273,Square Hygienic Roti/Chapati Multi Print Design Cover,Kitchen,40,64,258,https://cdn.shopify.com/s/files/1/1916/9825/products/2273SKUCODE.jpg?v=1614288564,32,42,13,87,80,24,97,288,317,10,285
2252,1 Litre Water Juice Milk Jug with Lid Transparent (Multi Colour),"Kitchen Storage, Container & Rack",582,78,258,https://cdn.shopify.com/s/files/1/1916/9825/products/313zfpisZJS.jpg?v=1626974888,39,84,22,145,80,24,96,345,379,10,341
2219,Designer Roli Chopra in Ganesh Shape Box,Home Decor,432,84,258,https://cdn.shopify.com/s/files/1/1916/9825/products/221901.jpg?v=1612489172,42,42,15,99,80,24,151,354,389,10,350
1651,Multipurpose Kitchen Bathroom Shelf Wall Holder Storage Rack Bathroom,Home Improvement,485,108,258,https://cdn.shopify.com/s/files/1/1916/9825/products/SKUCODE_99d30a07-e668-4b9b-8102-dbbb2539f648.jpg?v=1623953061,54,42,17,113,80,24,152,369,406,10,365
