PRODUCT NAME,CATEGORY,Variant SKU,prod code,HSN CODE,GST%,MRP,DISCOUNT,SELLING RATE WITHOUT GST,Image Src
0048 Chocotown Premium Dark Compound 400gm | Chocotown Dark Choco Slab,Chocolate,0048_dark_compound,0048,180610,18%,350,0,296,https://cdn.shopify.com/s/files/1/1916/9825/products/dark_front_5bf4d97b-7135-4ac1-9a48-e3a34bc96a74.jpg?v=1606564395
0049 Chocotown Premium Milk Compound 400gm | Chocotown Milk Choco Slab |,Chocolate,0049_milk_compound,0049,180610,18%,350,0,296,https://cdn.shopify.com/s/files/1/1916/9825/products/milk_front_4d348e8d-908f-4c27-8e29-5205c7dae1b6.jpg?v=1606564404
0050 Chocotown Premium White Compound 400gm | Chocotown White Choco Slab |,Chocolate,0050_white_compound,0050,180610,18%,400,10,305,https://cdn.shopify.com/s/files/1/1916/9825/products/white_front_68901cc5-6c82-4552-9187-f9ba5c1b5d51.jpg?v=1606564414
0055_Choco Nutri Chocolate Spreads - Premium Dark Chocolate Spread - 350 gm,"Jams, Honey & Spreads",0055_dark_chocolate_spread,0055,180610,18%,350,0,296,https://cdn.shopify.com/s/files/1/1916/9825/products/1_b6d088da-20e8-4722-988e-e07b4f6e40bc.jpg?v=1606564488
0060 Power free blender,Kitchen,0060_power_free_blender,0060,392410,18%,250,0,211,https://cdn.shopify.com/s/files/1/1916/9825/products/SKUCODE_5508fa99-4f1a-4972-aa99-4e4f0e76a812.jpg?v=1622137117
0065A Manual Stainless Steel Compact Extra Sharp Vegetable Chopper with 5 Blades (750 ml),Kitchen Tools,0065A_5_Blades_Handy_Chopper,0065A,392410,18%,300,5,241,https://cdn.shopify.com/s/files/1/1916/9825/products/0065A.jpg?v=1633521871
0067 2 in 1 Kitchen Vegetable Smart Cutter and Chopper,Kitchen,0067_smart_cutter,0067,392440,18%,350,25,222,https://cdn.shopify.com/s/files/1/1916/9825/products/0067.jpg?v=1617924139
"0070 Plastic 4 Compartment Sprout Maker, White",Kitchen,0070_sprout_maker_4_container,0070,392410,18%,400,5,322,https://cdn.shopify.com/s/files/1/1916/9825/products/0070.jpg?v=1617924154
0072 Manual Food Chopper (Food Processor) (800 ml),Kitchen Tools,0072_veg_chopper_650,0072,392410,18%,600,50,254,https://cdn.shopify.com/s/files/1/1916/9825/products/0072SKUCODE.jpg?v=1619722864
"0082 Smokeless Electric Indoor Barbecue Grill, 2000w",Kitchen,0082_electric_bbq_set,0082,851660,18%,2000,40,1017,https://cdn.shopify.com/s/files/1/1916/9825/products/0082_d1ca3651-e0b0-4217-80fe-7fca469fd0e2.jpg?v=1630007279
0084 Stainless Steel Vegetable Cutter Chopper (Chilly Cutter),Kitchen,0084_chilly_cutter,0084,392690,12%,300,0,267,https://cdn.shopify.com/s/files/1/1916/9825/products/0084.jpg?v=1618531145
"0090 Kitchen Press Set 12 pcs, Silver (Kitchen_Press)",Kitchen,0090_kitchen_press_12pc,0090,392321,12%,650,30,406,https://cdn.shopify.com/s/files/1/1916/9825/products/0090.jpg?v=1633934323
"0093 Plastic 3 Compartment Sprout Maker, White",Kitchen,0093_sprout_maker_3_container,0093,392321,18%,350,5,281,https://cdn.shopify.com/s/files/1/1916/9825/products/0093.jpg?v=1617924203
"0096 Plastic Easy Flow Storage Jar with Lid (750ml, Set of 6)","Kitchen Storage, Container & Rack",0096_j_easy_flow_750_ml,0096,392410,18%,500,20,339,https://cdn.shopify.com/s/files/1/1916/9825/products/0096_f91fa0e7-59ea-4bca-9cda-0b96e3adddd1.jpg?v=1630007291
"0098 Foldable Chopping Board, Dish Rack, Washing Bowl & Draining Basket, 3in1 Multi-Function",Kitchen,0098_3_in_1_kitchen_kit,0098,392410,18%,750,45,349,https://cdn.shopify.com/s/files/1/1916/9825/products/0098.jpg?v=1617924209
"0113 Adjustable Fridge Storage Basket, Fridge Racks Tray Sliding Storage Racks (1Pc)","Kitchen Storage, Container & Rack",0113_adjustable_rack,0113,392410,18%,200,0,169,https://cdn.shopify.com/s/files/1/1916/9825/products/0113.jpg?v=1620939603
0116 Hand Press Water Pump Dispenser,Kitchen,0116_water_dis_pump,0116,392690,5%,300,0,285,https://cdn.shopify.com/s/files/1/1916/9825/products/0116.jpg?v=1617924256
0117 Stainless Steel Vegatable and Dry Fruit Slicer/Cutter,Kitchen,0117_dry_fruit_slicer,0117,392690,18%,250,5,201,https://cdn.shopify.com/s/files/1/1916/9825/products/0117.jpg?v=1617924257
