PRODUCT NAME,CATEGORY,Variant SKU,prod code,HSN CODE,GST%,ttl,MRP,DISCOUNT,SELLING RATE EXCLUDING GST,IMAGE-1,IMAGE-2,IMAGE-3,IMAGE-4,IMAGE-5,IMAGE-6,IMAGE-7,IMAGE-8,IMAGE-9,IMAGE-10,,,,,
0048 Chocotown Premium Dark Compound 400gm | Chocotown Dark Choco Slab,Chocolate,0048_dark_compound,0048,180610,18%,325,350,5,281,https://cdn.shopify.com/s/files/1/1916/9825/products/dark_front_5bf4d97b-7135-4ac1-9a48-e3a34bc96a74.jpg?v=1606564395,https://cdn.shopify.com/s/files/1/1916/9825/products/drak_back_b6adabdf-989c-4717-930c-096ddeb636d8.jpg?v=1606564398,https://cdn.shopify.com/s/files/1/1916/9825/products/48_3.jpg?v=1606564401,,,,,,,,,,,,
0049 Chocotown Premium Milk Compound 400gm | Chocotown Milk Choco Slab |,Chocolate,0049_milk_compound,0049,180610,18%,325,350,0,296,https://cdn.shopify.com/s/files/1/1916/9825/products/milk_front_4d348e8d-908f-4c27-8e29-5205c7dae1b6.jpg?v=1606564404,https://cdn.shopify.com/s/files/1/1916/9825/products/milk_back_327f7578-dbf3-4e76-bb3b-d286add28b6f.jpg?v=1606564408,https://cdn.shopify.com/s/files/1/1916/9825/products/49_3.jpg?v=1606564411,,,,,,,,,,,,
0050 Chocotown Premium White Compound 400gm | Chocotown White Choco Slab |,Chocolate,0050_white_compound,0050,180610,18%,325,400,10,305,https://cdn.shopify.com/s/files/1/1916/9825/products/white_front_68901cc5-6c82-4552-9187-f9ba5c1b5d51.jpg?v=1606564414,https://cdn.shopify.com/s/files/1/1916/9825/products/white_back_90f94206-45d1-44df-9646-5466c9505ca6.jpg?v=1606564417,https://cdn.shopify.com/s/files/1/1916/9825/products/50_3.jpg?v=1606564420,,,,,,,,,,,,
0055_Choco Nutri Chocolate Spreads - Premium Dark Chocolate Spread - 350 gm,"Jams, Honey & Spreads",0055_dark_chocolate_spread,0055,180610,18%,341,350,0,296,https://cdn.shopify.com/s/files/1/1916/9825/products/1_b6d088da-20e8-4722-988e-e07b4f6e40bc.jpg?v=1606564488,https://cdn.shopify.com/s/files/1/1916/9825/products/3_e15f8212-29fb-4fc8-9e4d-ce686627d555.jpg?v=1606564491,https://cdn.shopify.com/s/files/1/1916/9825/products/2_9ef0f1f5-2564-43ea-ae06-c1a4c2b452b0.jpg?v=1606564494,https://cdn.shopify.com/s/files/1/1916/9825/products/4_0f9811d8-4c6a-4b9f-a69d-50270d5125f6.jpg?v=1606564497,https://cdn.shopify.com/s/files/1/1916/9825/products/darkcholates_f0019eb0-03a1-4949-92e7-9c972e5d05d1.jpg?v=1606564500,,,,,,,,,,
0060 Power free blender,Kitchen,0060_power_free_blender,0060,392410,18%,234,250,0,211,https://cdn.shopify.com/s/files/1/1916/9825/products/SKUCODE_5508fa99-4f1a-4972-aa99-4e4f0e76a812.jpg?v=1622137117,https://cdn.shopify.com/s/files/1/1916/9825/products/4_1024x1024_414ad6c1-b865-4035-bb9b-193cbe1b969f.jpg?v=1622137119,https://cdn.shopify.com/s/files/1/1916/9825/products/2_1024x1024_a2c93c64-f1e4-49c1-8ef1-b6b0b84b8205.jpg?v=1622137120,https://cdn.shopify.com/s/files/1/1916/9825/products/51yvsEuhUgS._SL1500.jpg?v=1622137122,https://cdn.shopify.com/s/files/1/1916/9825/products/45.jpg?v=1622137124,https://cdn.shopify.com/s/files/1/1916/9825/products/1_1024x1024_8929ed6f-2ae9-49b0-9879-83c7bd4b6a06.jpg?v=1622137125,https://cdn.shopify.com/s/files/1/1916/9825/products/as5d5as1d6.jpg?v=1622137127,,,,,,,,
0065A Manual Stainless Steel Compact Extra Sharp Vegetable Chopper with 5 Blades (750 ml),Kitchen Tools,0065A_5_Blades_Handy_Chopper,0065A,392410,18%,267,300,5,241,https://cdn.shopify.com/s/files/1/1916/9825/products/0065A.jpg?v=1633521871,https://cdn.shopify.com/s/files/1/1916/9825/products/02_19d38aa3-aa99-41cf-b23c-2c9a7d6c6fc8.jpg?v=1633521871,https://cdn.shopify.com/s/files/1/1916/9825/products/03_468f5daf-f008-47f4-96ca-3ace0b6d35de.jpg?v=1633521871,https://cdn.shopify.com/s/files/1/1916/9825/products/04_db0cc07b-d169-4e4d-ba89-0538ee690821.jpg?v=1633521871,https://cdn.shopify.com/s/files/1/1916/9825/products/05_5b0dde0e-efdf-4e82-a62f-647078c3e2dc.jpg?v=1633521869,https://cdn.shopify.com/s/files/1/1916/9825/products/06_33106e6e-a681-4263-9ec4-83ed66009791.jpg?v=1633521869,https://cdn.shopify.com/s/files/1/1916/9825/products/06b_baa90a8e-6b0c-4345-b35b-20e29735348b.jpg?v=1633521869,https://cdn.shopify.com/s/files/1/1916/9825/products/07_c3c00262-7814-41b7-905a-c0bfdbc1bfa4.jpg?v=1633521869,,,,,,,
0067 2 in 1 Kitchen Vegetable Smart Cutter and Chopper,Kitchen,0067_smart_cutter,0067,392440,18%,242,350,25,222,https://cdn.shopify.com/s/files/1/1916/9825/products/0067.jpg?v=1617924139,https://cdn.shopify.com/s/files/1/1916/9825/products/DSCN0005_fa876315-6026-40b1-80cc-fe7a91657cf0.jpg?v=1617711124,https://cdn.shopify.com/s/files/1/1916/9825/products/1_26c7c46f-afc3-40d6-a9e3-a89e7ee6f91b.jpg?v=1617711124,https://cdn.shopify.com/s/files/1/1916/9825/products/DSCN0008.jpg?v=1617711124,https://cdn.shopify.com/s/files/1/1916/9825/products/DSCN0007.jpg?v=1617711124,https://cdn.shopify.com/s/files/1/1916/9825/products/DSCN0010_1182ed81-d7f8-4816-aa2b-b559b863f5ff.jpg?v=1617711124,https://cdn.shopify.com/s/files/1/1916/9825/products/IMG-20200702-WA0073.jpg?v=1617711124,https://cdn.shopify.com/s/files/1/1916/9825/products/61pByvQ7CyL._SL1441_1470de1e-099e-4168-b5be-b738661ea159.jpg?v=1617711124,,,,,,,
"0070 Plastic 4 Compartment Sprout Maker, White",Kitchen,0070_sprout_maker_4_container,0070,392410,18%,361,400,5,322,https://cdn.shopify.com/s/files/1/1916/9825/products/0070.jpg?v=1617924154,https://cdn.shopify.com/s/files/1/1916/9825/products/2_b590c1b9-cd51-4a51-b904-2fed2dc5ebce.jpg?v=1617711468,https://cdn.shopify.com/s/files/1/1916/9825/products/41J4DH1J7AL._SL1000_d8b8a96c-6d6b-46ed-b735-4dc025a97388.jpg?v=1617711468,https://cdn.shopify.com/s/files/1/1916/9825/products/3_418e0d18-719f-4dc1-ac4d-10d3f0effdb0.jpg?v=1617711468,https://cdn.shopify.com/s/files/1/1916/9825/products/4_a017b46a-ce0f-4226-995d-d72c0d09184d.jpg?v=1617711468,https://cdn.shopify.com/s/files/1/1916/9825/products/5_59b5d7a9-95ef-4a14-a0d7-3636aad70c14.jpg?v=1617711468,https://cdn.shopify.com/s/files/1/1916/9825/products/1_3ae9201d-469d-47a9-ad6a-251a8c6ec064.jpg?v=1617711468,,,,,,,,
0084 Stainless Steel Vegetable Cutter Chopper (Chilly Cutter),Kitchen,0084_chilly_cutter,0084,392690,12%,291,300,1,265,https://cdn.shopify.com/s/files/1/1916/9825/products/0084.jpg?v=1618531145,https://cdn.shopify.com/s/files/1/1916/9825/products/41oZQA3dH0L_b810f2b9-ff3c-4aa6-a495-43941c992c34.jpg?v=1618055691,https://cdn.shopify.com/s/files/1/1916/9825/products/2_44ee6cfd-bef9-4351-9241-f6a14918a917.jpg?v=1618055691,https://cdn.shopify.com/s/files/1/1916/9825/products/3_553cdb3d-c8ef-4a61-9707-4b7f3eb338f1.jpg?v=1618055691,https://cdn.shopify.com/s/files/1/1916/9825/products/4_16ad88c6-dc34-4e48-a418-ee763234ca32.jpg?v=1618055691,https://cdn.shopify.com/s/files/1/1916/9825/products/5_93ab757a-fd89-4ae0-88eb-ebc8b45b0a32.jpg?v=1618055691,https://cdn.shopify.com/s/files/1/1916/9825/products/6_9726236d-cf49-4eab-a533-0c27cc8c5d1e.jpg?v=1618055691,,,,,,,,
"0090 Kitchen Press Set 12 pcs, Silver (Kitchen_Press)",Kitchen,0090_kitchen_press_12pc,0090,392321,12%,423,650,30,406,https://cdn.shopify.com/s/files/1/1916/9825/products/0090.jpg?v=1633934323,https://cdn.shopify.com/s/files/1/1916/9825/products/02_5d62257a-4285-420f-84a6-7a73cf3641d8.jpg?v=1633934323,https://cdn.shopify.com/s/files/1/1916/9825/products/03_11a81926-7c39-4929-a75d-8e827ac0ec9b.jpg?v=1633934323,https://cdn.shopify.com/s/files/1/1916/9825/products/04_25078a61-fa98-433b-8041-d9f788dfd99e.jpg?v=1633934323,https://cdn.shopify.com/s/files/1/1916/9825/products/05_5fa4e99e-9ec1-4eed-9b47-b5223ec5ef61.jpg?v=1633934323,https://cdn.shopify.com/s/files/1/1916/9825/products/06_921cf38c-0478-43a8-944c-d892e4547c23.jpg?v=1633934323,https://cdn.shopify.com/s/files/1/1916/9825/products/07_75175944-6fc2-4963-962a-68cc895c5ac8.jpg?v=1633934323,,,,,,,,
