,MRP,product code,product name,WEIGHT,Cost per item,ship,DISCOUNT,selling rate,GST,selling rate excl gst
Automotive,1848,0182,0182 Electric Portable Painting Machine Spray,3140,924,294,10,1663,18,1409
Automotive,400,0292,0292 Bike Riding & Cycling Anti Pollution Dust Sun Protecion Half Face Cover Mask,56,100,42,10,360,18,305
Automotive,744,0485,"0485 Portable Mini Foot Pump for Bicycle,Bike and car",327,189,42,30,521,18,441
Automotive,420,507,0507 Night HD Vision Driving Anti Glare Eyeglasses,162,79,42,20,336,18,285
Automotive,528,0512,0512 Heavy Duty Tire Inflator Gauge Air Compressor Accessories,192,135,42,20,422,18,358
Automotive,430,0515,0515 Strong Steel Air Pump,310,87,42,20,344,18,292
Automotive,786,0526,"0526 High Pressure Deluxe/Strong Foot Pump For Bicycle, Car, Bike",924,262,84,20,629,18,533
Automotive,408,0544,0544 Aluminum Mini Bicycle Air Pump (Multicolor),206,115,42,5,388,18,328
Automotive,408,0547,0547 Anti-Glare HD Car Sun Vision Visor Eyes Protector,260,102,42,10,367,18,311
Automotive,636,0551,0551 -12V Car Charging Electric Kettle Mug (Silver),378,185,42,25,477,18,404
Automotive,499,0574,"0574 Fast Air Inflation/Compressor for Automobile, Tyres, Sporting, Goods (250 PSI)",375,210,42,0,499,18,423
Automotive,"1,199",0709,"0709 Dual-Cylinder Foot Pump, Portable Floor Bike Pump, 150PSI Air Pump",1732,489,168,15,1019,18,864
Automotive,499,1528,1528 Cycles Power Beam Head Light and Tail Light,125,115,42,20,399,18,338
Automotive,499,1539,1539 Cycle Computer with Trip Distance and Timer Durable,200,179,42,10,449,18,381
Automotive,799,1562,1562 Rechargeable Bicycle LED Bright Light with Horn Speaker,85,248,42,25,599,18,508
Automotive,2999,1618,1618 Portable Electric Car Air Compressor Pump for Car and Bike Tyre,1618,1089,168,35,1949,18,1652
Automotive,1999,1641,1641 Car Tyre Inflator Rapid Mini Portable Air Compressor Pump,1641,797,168,30,1399,18,1186
Automotive,1999,1646,1646 Digital Car Tyre Inflator Portable Air Compressor Pump,1646,897,168,25,1499,18,1271
Automotive,999,1657,1657 Heavy Duty Bike Brake Lock - Locking System by Holding Handle Bar with Brake Lever,1657,289,168,20,799,18,677
Automotive,1599,1691,1691 Portable High Pressure Foot Air Pump Compressor for Car and Bike,1691,639,168,25,1199,18,1016
Automotive,599,1735,1735 High Pressure Bicycle Air Pump Tyre Inflator for Cycles,1735,179,168,0,599,18,508
Baby Care,748,0316,0316 Digital LCD 8.5'' inch Writing Drawing Tablet Pad Graphic eWriter Boards Notepad,138,148,42,40,449,18,380
Baby Care,484,0369,0369 Child Anti Lost Safety Belt,179,121,42,20,387,18,328
Baby Care,723,0950,"0950 Premium Champs High Absorbent Pant Style Diaper Small Size, 42 Pieces (950_Small_42)",926,271,84,15,615,18,521
Baby Care,780,0952,"0952 Premium Champs High Absorbent Pant Style Diaper Medium Size, 40 Pieces (952_Medium_40)",1874,290,168,5,741,18,628
"Beauty, Health & Personal Care",470,0256,0256 2 Hooks Waist Trimmer Belt Shaper Cincher Trimmer Body shape - (L),123,86,42,25,353,18,299
"Beauty, Health & Personal Care",786,0322,"0322 M3 My Life Fitness Band (Black, Standard Size)",47,215,42,30,550,18,466
"Beauty, Health & Personal Care",484,0340,0340 -5-in-1 Smoothing Body & Facial Massager (Pink),171,115,42,20,387,18,328
"Beauty, Health & Personal Care",440,0341,0341 Electric Hot Water Bag,461,88,42,20,352,18,298
"Beauty, Health & Personal Care",564,0348,0348 Men's Beard and Hair Curling Straightener (Modelling Comb),145,129,42,25,423,18,358
"Beauty, Health & Personal Care",810,0349,0349 Micro Touch Solo Men's Trimmer,174,270,42,25,608,18,515
"Beauty, Health & Personal Care",741,0350,0350 Multi-Function Beauty Equipment Skin Face Massage Bar (Beauty Vibrating Massage Tool),137,169,42,35,482,18,408
"Beauty, Health & Personal Care",843,0351,0351 -4 In 1 Blackhead Whitehead Extractor Remover Device Acne Pimple Pore Cleaner (Vacuum Suction Tool),363,150,42,40,506,18,429
"Beauty, Health & Personal Care",652,0352,0352 Thermal Head Spa Cap Treatment with Beauty Steamer Nourishing Heating Cap,529,148,84,25,489,18,414
"Beauty, Health & Personal Care",4999,0356,0356 Leg and Foot Massager For Pain Relief,2500,2975,210,15,4249,18,3601
"Beauty, Health & Personal Care",360,0365,0365 -7 Days Pill Tablet Medicine Organizer with Water Bottle 600ml,440,72,42,10,324,18,275
"Beauty, Health & Personal Care",299,0367,0367 USB Vibration Full Body Massager,154,72,42,0,299,18,253
"Beauty, Health & Personal Care",484,0370,0370 -3D Roller Face Massager,238,121,42,20,387,18,328
"Beauty, Health & Personal Care",484,0374,0374 Pill Pro 7 Day Weekly Tablet Medicine Organizer Box,240,115,42,20,387,18,328
"Beauty, Health & Personal Care",1000,0376,0376 Simply Ceramic Hair Straightener,612,259,84,35,650,18,551
