catgory,MRP,product code,product name,WEIGHT,Cost per item,ship,DISCOUNT,selling rate,GST,selling rate excl gst,,image,,,,,,,,,,
Automotive,399,1460,1460 Plastic Auto Cool- Solar Powered Ventilation Fan Keeps Your Parked Car Cool,408,223.02,42,0,399,18,338,1460_Solar_Car_Cooler,https://cdn.shopify.com/s/files/1/1916/9825/products/SKUCODE_01ac7895-0567-4a55-81dd-ccb4ba00e4e5.jpg?v=1623952986,https://cdn.shopify.com/s/files/1/1916/9825/products/60b2859da8d4cc86a1ded87c-large.jpg?v=1623952988,https://cdn.shopify.com/s/files/1/1916/9825/products/60b2859da8d4cc86a1ded87c-7-large.jpg?v=1623952991,https://cdn.shopify.com/s/files/1/1916/9825/products/5ce4bcba5f930e5200ca4647-14-large.jpg?v=1623952992,https://cdn.shopify.com/s/files/1/1916/9825/products/5ce4bcba5f930e5200ca4647-10-large.jpg?v=1623952996,https://cdn.shopify.com/s/files/1/1916/9825/products/60911473cd63c733f3756ae0-large.jpg?v=1623952997,,,,,
"Beauty, Health & Personal Care",399,1482,1482 Mushroom Usb Electric Hand Massager,276,199,42,0,399,18,338,1482_Mushroom_Hand_Massager,https://cdn.shopify.com/s/files/1/1916/9825/products/1482SKUCODE.jpg?v=1626974816,https://cdn.shopify.com/s/files/1/1916/9825/products/66202180335AM680126560.jpg?v=1626974818,https://cdn.shopify.com/s/files/1/1916/9825/products/66202180335AM1017316585.jpg?v=1626974819,https://cdn.shopify.com/s/files/1/1916/9825/products/148202.jpg?v=1626974821,https://cdn.shopify.com/s/files/1/1916/9825/products/66202180335AM2094603875.jpg?v=1626974824,https://cdn.shopify.com/s/files/1/1916/9825/products/148202SKUCODE.jpg?v=1626974826,https://cdn.shopify.com/s/files/1/1916/9825/products/WhatsAppImage2021-07-15at4.35.15PM.jpg?v=1626974828,,,,
"Beauty, Health & Personal Care",599,4693,4693 Portable Fan Neck Fan Hands Free Personal Fan,357,218,42,30,419,18,355,4693_LED_Wearable_Sport_Fan,https://cdn.shopify.com/s/files/1/1916/9825/products/469301_2c3695d5-85a2-4920-89ab-c800b8e14c99.jpg?v=1632402099,https://cdn.shopify.com/s/files/1/1916/9825/products/469306.jpg?v=1632402099,https://cdn.shopify.com/s/files/1/1916/9825/products/469307.jpg?v=1632402099,https://cdn.shopify.com/s/files/1/1916/9825/products/469304.jpg?v=1632402099,https://cdn.shopify.com/s/files/1/1916/9825/products/469305.jpg?v=1632402099,https://cdn.shopify.com/s/files/1/1916/9825/products/469303.jpg?v=1632402099,https://cdn.shopify.com/s/files/1/1916/9825/products/469302.jpg?v=1632402099,https://cdn.shopify.com/s/files/1/1916/9825/products/469301.jpg?v=1632402199,,,
Cleaning Supplies,599,6024,6024 Automatic Hands-Free Touch less Soap Dispenser with Auto Sensor (480ML),728,148,84,35,389,18,330,6024_Auto_Soap_Dispenser,https://cdn.shopify.com/s/files/1/1916/9825/products/01_411d2e68-450c-4893-975f-2764a4af38ef.jpg?v=1635742887,https://cdn.shopify.com/s/files/1/1916/9825/products/03_43237154-1cb4-47d8-b4e5-d0d5ffaede1a.jpg?v=1635742887,https://cdn.shopify.com/s/files/1/1916/9825/products/02_4671182b-f5c0-4f5c-9f2c-5fc692131745.jpg?v=1635742887,https://cdn.shopify.com/s/files/1/1916/9825/products/06_3f06cf35-ac2e-4ab2-a402-533a39c81ebe.jpg?v=1635742887,https://cdn.shopify.com/s/files/1/1916/9825/products/04_684c21bf-fe0c-40aa-9a9f-3bc74dd6ac7a.jpg?v=1635742887,https://cdn.shopify.com/s/files/1/1916/9825/products/05_2970564b-77df-4f94-a20c-3369f4b60cf6.jpg?v=1635742887,https://cdn.shopify.com/s/files/1/1916/9825/products/07_d925a608-4591-4e74-ae69-8b155382eec0.jpg?v=1635742887,https://cdn.shopify.com/s/files/1/1916/9825/products/08_bbddad4d-7fea-48f7-a805-4f7e40834527.jpg?v=1635742887,,,
Garden,499,645,0645 Water Sprayer Hand-held Pump Pressure Garden Sprayer - 2 L,700,164,84,20,399,18,338,0645_2Ltr_Garden_Spray,https://cdn.shopify.com/s/files/1/1916/9825/products/garden-pump-pressure-sprayer-lawn-sprinkler-water-mister-original-imafu9rxtgdpdzsq.jpg?v=1619125717,https://cdn.shopify.com/s/files/1/1916/9825/products/1_4a799db2-4fd2-4ada-93ec-1232b3aeee10.jpg?v=1619125719,https://cdn.shopify.com/s/files/1/1916/9825/products/2_e00706a8-d092-47c9-b574-3fcbb450714f.jpg?v=1619125720,https://cdn.shopify.com/s/files/1/1916/9825/products/4_35cbcc5e-1ce3-48fb-a415-4763f5b108c4.jpg?v=1619125723,https://cdn.shopify.com/s/files/1/1916/9825/products/3_c7d2bbb7-577d-4f0b-bddd-ec3623260915.jpg?v=1619125724,,,,,,
Garden,499,1077,1077 2 in 1 Watering Can with Hand Triggered Sprayer for Plants,1306,150,126,15,424,18,359,1077_2In1_Watering_Can,https://cdn.shopify.com/s/files/1/1916/9825/products/0111.jpg?v=1610075093,https://cdn.shopify.com/s/files/1/1916/9825/products/454545646.jpg?v=1610075095,https://cdn.shopify.com/s/files/1/1916/9825/products/02222.jpg?v=1610075096,https://cdn.shopify.com/s/files/1/1916/9825/products/dsadsad.jpg?v=1610075098,https://cdn.shopify.com/s/files/1/1916/9825/products/57484d66-7297-469c-ab71-f86419a9d557.jpg?v=1618532188,https://cdn.shopify.com/s/files/1/1916/9825/products/Untitled-1_f936e33d-9855-4517-8425-9bae34959918.jpg?v=1618532190,https://cdn.shopify.com/s/files/1/1916/9825/products/fe8a4678-1358-466b-b6ed-80596c66e458.jpg?v=1618532192,https://cdn.shopify.com/s/files/1/1916/9825/products/8233a3a9-b9d6-4575-8c0c-dc65ea7f135b.jpg?v=1618532194,https://cdn.shopify.com/s/files/1/1916/9825/products/e1521349-c638-4c5c-806b-a5d16c7fc1fa.jpg?v=1618532197,https://cdn.shopify.com/s/files/1/1916/9825/products/02_f86582d5-ac52-48e1-9565-f357c4fa38de.jpg?v=1618532199,https://cdn.shopify.com/s/files/1/1916/9825/products/01_728feb06-3e9d-4f66-995b-d71710db9db4.jpg?v=1618532202
Home Decor,399,1256,1256 Desk Lamp with Pen Holder Table Lamp with Pencil Stand for Home Office,330,199,42,0,399,18,338,1256_Pen_Holder_Lamp,https://cdn.shopify.com/s/files/1/1916/9825/products/desklamp.jpg?v=1606576925,https://cdn.shopify.com/s/files/1/1916/9825/products/desklamp02.jpg?v=1606576927,https://cdn.shopify.com/s/files/1/1916/9825/products/desklamp03.jpg?v=1606576929,https://cdn.shopify.com/s/files/1/1916/9825/products/desklamp04.jpg?v=1606576931,,,,,,,
Home Decor,299,1636,1636 Iron Musician Playing Bass Guitar Pen Stand Showpiece,304,136,42,0,299,18,253,1636_Musician_Pen_Stand,https://cdn.shopify.com/s/files/1/1916/9825/products/SKUCODE_c32d07e1-a8ab-49d4-9b5f-4a9df20d2579.jpg?v=1623344912,https://cdn.shopify.com/s/files/1/1916/9825/products/metallic-metal-guitar-with-bin-pen-stand-by-exim-d-cor-metallic-metal-guitar-with-bin-pen-stand-by-e-tpcus7.jpg?v=1623344914,https://cdn.shopify.com/s/files/1/1916/9825/products/71M03Woi1_L._SL1500.jpg?v=1623344916,https://cdn.shopify.com/s/files/1/1916/9825/products/metallic-metal-guitar-with-bin-pen-stand-by-exim-d-cor-metallic-metal-guitar-with-bin-pen-stand-by-e-55olia.jpg?v=1623344920,https://cdn.shopify.com/s/files/1/1916/9825/products/metallic-metal-guitar-with-bin-pen-stand-by-exim-d-cor-metallic-metal-guitar-with-bin-pen-stand-by-e-f7eduv.jpg?v=1623344924,,,,,,
Home Decor,399,1640,1640 Girl Musician Playing  Pen Stand Showpiece,265,136,42,15,339,18,287,1640_AN02_Music_Girl_Stand,https://cdn.shopify.com/s/files/1/1916/9825/products/01_a1ca5abf-32c1-4039-ad14-d2e2c85b7149.jpg?v=1623345001,https://cdn.shopify.com/s/files/1/1916/9825/products/61O1j9Zr5CL._AC_SL1001.jpg?v=1623345003,https://cdn.shopify.com/s/files/1/1916/9825/products/61tOlFFvZML._AC_SL1001.jpg?v=1623345007,https://cdn.shopify.com/s/files/1/1916/9825/products/61WHR4jSBXL._AC_SL1001.jpg?v=1623345011,https://cdn.shopify.com/s/files/1/1916/9825/products/6161bdrSwAL._AC_SL1001.jpg?v=1623345015,https://cdn.shopify.com/s/files/1/1916/9825/products/WhatsAppImage2021-06-05at5.28.33PM.jpg?v=1623345019,,,,,
Home Improvement,349,1367,1367 Plastic Round Cloth Drying Stand Hanger with 24 Clips (Multicolour),971,135,84,0,349,18,296,1367_24Pc_Multipurpose_Clip,https://cdn.shopify.com/s/files/1/1916/9825/products/1367SKUCODE_b9341c30-09e8-4e40-a424-d52145498f82.jpg?v=1614288343,https://cdn.shopify.com/s/files/1/1916/9825/products/360-degree-18-clip-round-plastic-laundry-clothesline-hanging-original-imafcut3zbhhejfz_7fc614a6-294f-4f83-b477-9ca3d5eb059e.jpg?v=1614288345,https://cdn.shopify.com/s/files/1/1916/9825/products/1_682ac2c1-4985-4d64-9449-bda025c62398.jpg?v=1614288347,https://cdn.shopify.com/s/files/1/1916/9825/products/1367.jpg?v=1614288349,,,,,,,
Home Improvement,399,4660,4660 Adjustable Trouser Pants Hanger Organizer,658,148,84,5,379,18,321,4660_5in1_SS_Pant_Rack,https://cdn.shopify.com/s/files/1/1916/9825/products/466001.jpg?v=1628792161,https://cdn.shopify.com/s/files/1/1916/9825/products/H90ecaa47cb5042339301d53cc50724b4I.jpg?v=1628792164,https://cdn.shopify.com/s/files/1/1916/9825/products/H4ef899da2ec746e3b198bb4f86dbbe2cn.jpg?v=1628792166,https://cdn.shopify.com/s/files/1/1916/9825/products/5da57a9c49605c1b451de28d-8-large.jpg?v=1628792168,https://cdn.shopify.com/s/files/1/1916/9825/products/size_981e3fbb-416b-4d12-947b-45ae266eaf97.jpg?v=1628792170,https://cdn.shopify.com/s/files/1/1916/9825/products/5da57a9c49605c1b451de28d-10-large.jpg?v=1628792173,https://cdn.shopify.com/s/files/1/1916/9825/products/5fcda06b33ec69efe5c17db6-large.jpg?v=1628792175,,,,
Kitchen,499,2055,2055 Kitchen Plastic Space Saver Organizer Basket Rack- 4 pcs,405,89,42,25,374,18,317,2055_Stationary_Drawer,https://cdn.shopify.com/s/files/1/1916/9825/products/2055KitchenPlasticSpaceSaverOrganizerBasketRack-4pcs.jpg?v=1606578326,https://cdn.shopify.com/s/files/1/1916/9825/products/61_wn68rYzL._SL1500.jpg?v=1606578330,https://cdn.shopify.com/s/files/1/1916/9825/products/61pTRgW9hGL._SL1001.jpg?v=1606578333,https://cdn.shopify.com/s/files/1/1916/9825/products/61pYd9aY8xL._SL1100.jpg?v=1606578336,https://cdn.shopify.com/s/files/1/1916/9825/products/61OXo5e1LaL._SL1100.jpg?v=1606578339,,,,,,
Kitchen,699,2369,2369 Manual Fruit & Vegetable Juicer with Steel Handle Fruit Juicer,1597,159,168,15,594,18,504,2369_Excellent_Fruit_Juicer,https://cdn.shopify.com/s/files/1/1916/9825/products/01_02e6435a-466f-4478-a8d5-9747be310f49.jpg?v=1620940288,https://cdn.shopify.com/s/files/1/1916/9825/products/02_170d6323-cd89-4c7a-9d2f-7881aa379967.jpg?v=1620940291,https://cdn.shopify.com/s/files/1/1916/9825/products/03_d36fb308-19f2-4c56-92a5-80f384b65f53.jpg?v=1620940293,https://cdn.shopify.com/s/files/1/1916/9825/products/04_7ad81e27-308c-405d-8cc7-468e474d69c1.jpg?v=1620940296,https://cdn.shopify.com/s/files/1/1916/9825/products/05_4d506f22-db42-4d15-a551-65ca905d1e36.jpg?v=1620940300,https://cdn.shopify.com/s/files/1/1916/9825/products/06_f07945b6-4fff-40e2-ae77-1183b0cf6fc6.jpg?v=1620940304,https://cdn.shopify.com/s/files/1/1916/9825/products/07_bf578f19-812a-4232-a0c2-5445a287aaba.jpg?v=1620940308,,,,
Kitchen,499,2556,"2556 Creative Snack Dish, Five trellised Family Fruit Dessert set",821,165,84,5,474,18,402,2556_3in1_Fruit_Plates,https://cdn.shopify.com/s/files/1/1916/9825/products/255601.jpg?v=1632207976,https://cdn.shopify.com/s/files/1/1916/9825/products/608e4d7c4b903d4eeb1df3d2-6-large.jpg?v=1632207976,https://cdn.shopify.com/s/files/1/1916/9825/products/5f991634ffbe5b04a5b51c35-2-large.jpg?v=1632207976,https://cdn.shopify.com/s/files/1/1916/9825/products/WhatsAppImage2021-09-16at1.41.22PM.jpg?v=1632207976,https://cdn.shopify.com/s/files/1/1916/9825/products/5f991634ffbe5b04a5b51c35-1-large.jpg?v=1632207976,https://cdn.shopify.com/s/files/1/1916/9825/products/608e4d7c4b903d4eeb1df3d2-8-large.jpg?v=1632207976,https://cdn.shopify.com/s/files/1/1916/9825/products/608e4d7c4b903d4eeb1df3d2-3-large.jpg?v=1632207976,,,,
Kitchen,684,168,0168 Manual Fruit Vegetable Juicer with Juice Cup and Waste Collector,1395,191,126,30,479,18,406,0168_juicer_with_waste_cup,https://cdn.shopify.com/s/files/1/1916/9825/products/0168.jpg?v=1619125390,https://cdn.shopify.com/s/files/1/1916/9825/products/03_006afdf7-c492-42e2-834a-6c08f6b5f5e2.jpg?v=1619125392,https://cdn.shopify.com/s/files/1/1916/9825/products/02_bf83d4db-cc49-41de-aa02-fce7873a7330.jpg?v=1619125394,https://cdn.shopify.com/s/files/1/1916/9825/products/04_4a1f0973-132e-43ab-adbd-6f074012e62c.jpg?v=1619125396,https://cdn.shopify.com/s/files/1/1916/9825/products/05_594f4116-6c42-4f9e-a8c0-e422140509e2.jpg?v=1619125397,https://cdn.shopify.com/s/files/1/1916/9825/products/03611.jpg?v=1625755186,https://cdn.shopify.com/s/files/1/1916/9825/products/5def121f7a238506ec04a60b-6-large.jpg?v=1625755188,https://cdn.shopify.com/s/files/1/1916/9825/products/sdfdsfsdf.jpg?v=1625755190,https://cdn.shopify.com/s/files/1/1916/9825/products/5def121f7a238506ec04a60b-2-large.jpg?v=1625755192,https://cdn.shopify.com/s/files/1/1916/9825/products/5f48a9d3fcc85c6807621b05-8-large.jpg?v=1625755194,
Kitchen,449,2205,2205 Multipurpose Vegetable & Fruit Chopper Cutter with Cleaning Tool,764,216,84,0,449,18,381,2205_3Pc_Vegetable_Dicer,https://cdn.shopify.com/s/files/1/1916/9825/products/2205sku.jpg?v=1611889178,https://cdn.shopify.com/s/files/1/1916/9825/products/61xuSvyl6BL._SL1500.jpg?v=1611889180,https://cdn.shopify.com/s/files/1/1916/9825/products/71pCMV4U2gL._SL1500.jpg?v=1611889182,https://cdn.shopify.com/s/files/1/1916/9825/products/51wIOqeizkL._SL1500.jpg?v=1611889184,https://cdn.shopify.com/s/files/1/1916/9825/products/718x6bNL2ZL._SL1500_25d49eeb-93fa-438d-bebd-6c9034a6021a.jpg?v=1611889186,https://cdn.shopify.com/s/files/1/1916/9825/products/brand-new-ganesh-vegetable-fruit-chopper-cutter-with-2-chop-original-imae45yfgdyah67f.jpg?v=1611889188,https://cdn.shopify.com/s/files/1/1916/9825/products/41A1ytMgnKL.jpg?v=1611889190,https://cdn.shopify.com/s/files/1/1916/9825/products/51pUdTMbg3L._SL1000.jpg?v=1611889191,https://cdn.shopify.com/s/files/1/1916/9825/products/22051.jpg?v=1611889193,,
