Handle,Titl,e,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,DeoDap International Private Limited
2670-2-in-1-handy-chopper-and-slicer-used-widely-for-chopping-and-slicing-of-fruits-vegetables-cheese-etc-including-all-kitchen-purposes-1,2670,"2 in 1 Handy Chopper and Slicer Used Widely for chopping and Slicing of Fruits, Vegetables, Cheese Etc. Including All Kitchen Purposes.",Default Title,,,,,2670_2in1_Handy_Chopper_1Ltr,,,144
6114-makeup-cutlery-box-used-for-storing-makeup-equipmenta-s-and-kits-used-by-womena-s-and-ladies,6114,Makeup Cutlery Box Used for storing makeup equipments and kits used by womens and ladies.,Default Title,,,,,6114_Loose_Cutlery_Box,,,2035
1711-garden-sharp-cutter-pruners-scissor-with-grip-handle-1,1711,Garden Sharp Cutter Pruners Scissor with grip-handle,Default Title,,,,,1711_Printed_Sharp_F_Cutter,,,1581
2664-q-2in1-chopper-and-slicer-used-widely-for-chopping-and-slicing-of-fruits-vegetables-cheese-etc-including-all-kitchen-purposes-1,2664,"Quick 2in1 Chopper and Slicer Used Widely for chopping and Slicing of Fruits, Vegetables, Cheese Etc. Including All Kitchen Purposes.",Default Title,,,,,2664_2in1_Q_Chopper_375ML,,,216
7065-random-shape-non-stick-and-microwave-safe-bakeware-set-pack-of-10pcs-1,7065,Random Shape Non-Stick and Microwave Safe Bakeware Set (Pack of 10Pcs),Default Title,,,,,7065_10Pc_Cake_BKT_Cmb,,,30
2663-quick-chopper-and-slicer-used-widely-for-chopping-and-slicing-of-fruits-vegetables-cheese-etc-including-all-kitchen-purposes,2663,"Quick Chopper and Slicer Used Widely for chopping and Slicing of Fruits, Vegetables, Cheese Etc. Including All Kitchen Purposes.",Default Title,,,,,2663_Q_Chopper_375ML,,,196
2665-big-round-apple-cutter-and-shredder-tool-with-effective-sharp-chopping-blade-system,2665,Big Round Apple Cutter and shredder tool with effective sharp chopping blade system.,Default Title,,,,,2665_Round_B_Apple_Cutter,,,72
6108-3-digit-zipper-lock-and-zipper-tool-used-widely-in-all-security-purposes-of-zipper-materials,6108,3 Digit Zipper Lock and zipper tool used widely in all security purposes of zipper materials.,Default Title,,,,,6108_3Digit_R_Zipper_Lock,,,4997
8068-sun-flower-fidget-toy-and-fidget-tool-used-for-playing-purposes-and-all-especially-for-kids-1,8068,"Sun flower Fidget Toy and fidget tool Used for playing purposes and all, especially for kids.",Default Title,,,,,8068_Sun_Flower_Fidget_Toy,,,0
4738-shower-drain-cover-used-for-draining-water-present-over-floor-surfaces-of-bathroom-and-toilets-etc-1,4738,Shower Drain Cover Used for draining water present over floor surfaces of bathroom and toilets etc.,Default Title,,,,,4738_Shower_Drain_Cover,,,2970
6109-3-digit-luggage-lock-and-tool-used-widely-in-all-security-purposes-of-luggage-items-and-materials-1,6109,3 Digit luggage Lock and tool used widely in all security purposes of luggage items and materials.,Default Title,,,,,6109_3Digit_luggage_Lock,,,4996
8067-star-fidget-toy-and-fidget-tool-used-for-playing-purposes-and-all-especially-for-kids,8067,"Star Fidget Toy and fidget tool Used for playing purposes and all, especially for kids.",Default Title,,,,,8067_Star_Fidget_Toy,,,67
8066-apple-fidget-toy-and-fidget-tool-used-for-playing-purposes-and-all-especially-for-kids,8066,"Apple Fidget Toy and fidget tool Used for playing purposes and all, especially for kids.",Default Title,,,,,8066_Apple_Fidget_Toy,,,57
4767-mini-3-layer-drawer-used-for-storing-makeup-equipmenta-s-and-kits-used-by-womena-s-and-ladies,4767,Mini 3 Layer Drawer Used for storing makeup equipments and kits used by womens and ladies.,Default Title,,,,,4767_Mini_3Layer_Drawer,,,261
4769-sili-9-cavity-ice-tray-and-cavity-ice-tool-used-for-storing-and-freezing-various-types-of-ice-cubes-1,4769,Silicone 9 Cavity Ice Tray and cavity ice tool Used for storing and freezing various types of ice cubes.,Default Title,,,,,4769_Sili_9Cavity_Ice_Tray,,,29
4768-sili-15-cavity-ice-tray-and-cavity-ice-tool-used-for-storing-and-freezing-various-types-of-ice-cubes-1,4768,Sili 15 Cavity Ice Tray and cavity ice tool Used for storing and freezing various types of ice cubes.,Default Title,,,,,4768_Sili_15Cavity_Ice_Tray,,,36
1789-wall-tissue-holder-used-for-holding-tissues-responsible-for-cleaning-and-wiping-of-hands-and-some-other-accessories,1789,Wall Tissue Holder Used for Holding Tissues Responsible for Cleaning and Wiping of Hands and Some Other Accessories.,Default Title,,,,,1789_Wall_M_Tissue_Holder,,,968
6106-mask-extension-belt-and-strap-used-for-extended-face-mask-string-to-get-rid-from-pain-in-ear-1,6106,Mask Extension Belt and strap Used for extended face mask string to get rid from pain in ear.,Default Title,,,,,6106_24Pc_Mask_Extension_Belt,,,378
1251a-3-in-1-steamer-vaporizer-used-for-taking-facial-steam-and-vapour-for-all-kinds-of-people,1251,A 3 in 1 Steamer Vaporizer Used for taking facial steam and vapour for all kinds of people.,Default Title,,,,,1251A_3In1_Steamer_Vaporizer,,,2153
4771-emoji-pen-and-emoji-pencil-used-by-kids-for-writing-and-playing-purposes-etc-1,4771,Emoji Pen and Emoji Pencil Used by kids for writing and playing purposes etc.,Default Title,,,,,4771_12Pc_Emoji_Pen,,,116
6110-cable-holder-and-supporter-for-giving-support-and-stance-to-all-kind-of-cables-e-g-wire-cables,6110,"Cable Holder and supporter for giving support and stance to all kind of cables. (e.g., wire cables)",Default Title,,,,,6110_10Pc_Adh_Cable_Holder,,,187
4772-folding-brush-and-cleaner-for-cleaning-and-washing-purposes-with-effective-performance-2,6043,Folding Brush and cleaner for cleaning and washing purposes with effective performance.,Default Title,,,,,6043_2in1_Folding_C_Brush,,,1972
6105-diy-glass-candle-holder-and-stand-used-for-holding-and-supporting-wax-candles-1,6063,DIY Glass Candle Holder and stand Used for holding and supporting wax candles.,Default Title,,,,,6063_DIY_Glass_Candle_Holder,,,1493
0112a-fancy-spoon-used-while-eating-and-serving-food-stuffs-etc-1,112,A Fancy Spoon Used While Eating and Serving Food Stuffs Etc.,Default Title,,,,,0112A_6Pc_Fancy_Spoon,,,388
6064-microfiber-cup-cleaner-used-for-cleaning-and-washing-of-dirty-cups-and-mugs-1,6064,Microfiber Cup Cleaner Used for Cleaning and Washing of Dirty Cups and Mugs.,Default Title,,,,,6064_Microfiber_Cup_Cleaner,,,1199
7392-android-smartphone-charger-travel-charger-usb-charger-usb-cable-not-included,7392,"Android Smartphone Charger, Travel Charger, Usb Charger (USB Cable Not Included)",Default Title,,,,,7392_USB_Charger_Adapter_14,,,347
4770-champs-stand-and-mobile-stand-used-for-holding-and-supporting-mobile-phones-1,4770,Champs Stand and mobile stand Used for holding and supporting mobile phones.,Default Title,,,,,4770_50Pc_Champs_Stand,,,39
8028a-gatling-bubble-gun-and-launcher-used-for-making-and-producing-bubbles-especially-for-kids,8028,"A Gatling Bubble Gun and launcher Used for making and producing bubbles, especially for kids.",Default Title,,,,,8028A_Gatling_Bubble_Gun,,,0
9006-flexible-water-sprayer-and-sprinkler-used-for-watering-and-washing-types-of-things,9006,Flexible Water Sprayer and sprinkler used for watering and washing types of things.,Default Title,,,,,9006_Flexible_Water_F_Sprayer,,,4803
2662-vegetable-thumb-cutter-and-tool-with-effective-sharp-cutting-blade-system,2662,Vegetable Thumb Cutter and tool with effective sharp cutting blade system.,Default Title,,,,,2662_1Pair_Vege_Thumb_Cutter,,,503
2614-dustpan-set-used-for-cleaning-and-removal-of-dirt-from-floor-surfaces-1,2614,Dustpan Set Used for Cleaning and removal of Dirt from floor surfaces.,Default Title,,,,,2614_2in1_Dustpan_Set,,,211
2657-wooden-butcut-patala-used-for-home-purposes-including-making-rotis-etc,2657,Wooden Butcut Patala Used for Home Purposes Including Making Rotis Etc.,Default Title,,,,,2657_W_Butcut_Patala,,,36
4739-microfiber-cone-mop-and-cone-broom-used-for-cleaning-dusty-and-wet-floor-surfaces-and-tiles-1,4739,Microfiber Cone Mop and Cone Broom Used for Cleaning Dusty and Wet Floor Surfaces and Tiles.,Default Title,,,,,4739_Microfiber_Cone_Mop,,,2350
2660-wooden-belan-used-for-home-purposes-including-making-rotis-etc-belan-only,2660,Wooden Belan Used for Home Purposes Including Making Rotis Etc. (Belan Only),Default Title,,,,,2660_1Pc_Wooden_Belan,,,174
6061-microfiber-car-duster-used-for-cleaning-and-washing-of-dirty-car-glasses-windows-and-exterior-1,6061,"Microfiber Car Duster Used for Cleaning and Washing of Dirty Car Glasses, Windows and Exterior.",Default Title,,,,,6061_Microfiber_Car_Duster,,,0
2659-bombay-belan-used-for-home-purposes-including-making-rotis-etc-1,2659,Bombay Belan Used for Home Purposes For Making Rotis Etc.,Default Title,,,,,2659_1Pc_Bombay_Belan,,,76
2656-round-patala-and-round-chakla-used-for-home-purposes-including-making-rotis-etc,2656,Round Patala Used for Home Purposes (Belan Not Including),Default Title,,,,,2656_W_Round_Patala,,,83
2658-kidzz-patala-set-used-for-kids-playing-and-enjoying-purposes-1,2658,Kidzz Patala Set Used for kids playing and enjoying Purposes.,Default Title,,,,,2658_Kidzz_Patala_Set,,,39
4722-cake-nozzle-set-and-cake-nozzle-tool-used-for-making-cake-and-pastry-decorations-1,4722,Cake Nozzle Set and Cake Nozzle Tool Used for Making Cake and Pastry Decorations.,Default Title,,,,,4722_55Pc_Cake_Nozzle_Set,,,1181
6062-microfiber-handle-duster-used-for-cleaning-and-washing-of-dirty-floor-surfaces-glasses-windows-and-etc,6062,"Microfiber Handle Duster Used for Cleaning and Washing of Dirty floor surfaces, glasses, windows and etc.",Default Title,,,,,6062_Microfiber_Handle_Duster,,,1884
7064,7064,"Non-Stick Carbon Steel 12-Cup Muffin Pan Midi Shape Muffins, Cupcake Mold (17X11 Inch)",Default Title,,,,,7064_BKT_17X11In_02,,,52
2587-heart-grater-set-and-heart-grater-slicer-used-widely-for-grating-and-slicing-of-fruits-vegetables-cheese-etc-including-all-kitchen-purposes-1,2587,"Heart Grater Set and Heart Grater Slicer Used Widely for Grating and Slicing of Fruits, Vegetables, Cheese Etc. Including All Kitchen Purposes.",Default Title,,,,,2587_4Pc_Heart_Grater_Set,,,1094
6020-nail-art-point-pen-and-set-used-by-womena-s-and-ladies-for-their-fashion-purposes,6020,Nail Art Point Pen and Set Used by Womens and Ladies for Their Fashion Purposes.,Default Title,,,,,6020_5Pc_Nail_Art_Point_Pen,,,3226
4766-tv-setup-box-stand-and-setup-box-holder-used-for-placing-setup-boxes-of-various-technical-devices-1,4766,TV Setup Box Stand and Setup Box Holder Used for Placing Setup Boxes of Various Technical Devices.,Default Title,,,,,4766_TV_Setup_Box_Stand,,,0
0645a-garden-spray-and-sprinkler-used-for-watering-types-of-flowers-and-plants-1,645,A Garden Spray and sprinkler used for watering types of flowers and plants.,Default Title,,,,,0645A_2Ltr_Garden_Spray,,,0
2661-grater-set-and-grater-slicer-used-widely-for-grating-and-slicing-of-fruits-vegetables-cheese-etc-including-all-kitchen-purposes,2661,"Grater Set and Grater Slicer Used Widely for Grating and Slicing of Fruits, Vegetables, Cheese Etc. Including All Kitchen Purposes.",Default Title,,,,,2661_IND_4Pc_H_Grater_Set,,,0
2653-wooden-blender-for-all-kitchen-purposes,2653,Wooden blender for all kitchen purposes.,Default Title,,,,,2653_Wooden_Whisk,,,33
2486b-lollipop-candy-maker-and-lollipop-candy-machine-used-for-making-of-lollipop-candies-at-home,2486,B Lollipop Candy Maker and Lollipop Candy Machine Used for Making of Lollipop Candies at Home.,Default Title,,,,,2486B_Lollipop_Candy_Maker,,,66
0381b-heating-bag-and-heating-pad-used-to-ease-pain-in-joints-muscles-and-soft-tissues-etc,381,"B Heating Bag and Heating Pad Used to Ease Pain in Joints, Muscles and Soft Tissues Etc.",Default Title,,,,,0381B_Velvet_Heating_Bag,,,0
1410a_slim_toilet_brush_box,1410,A Silicone Toilet Brush with Holder Stand  for Bathroom Cleaning,Default Title,,,,,1410A_Slim_Toilet_Brush_Box,,,0
2655-washing-bowl-and-washing-utensil-for-household-purposes-like-cleaning-fruits-and-vegetables-etc,2655,Washing Bowl and Washing Utensil for Household Purposes Like Cleaning Fruits and Vegetables Etc.,Default Title,,,,,2655_1Pc_Washing_Fruit_Bowl,,,233
7063-non-stick-cookie-baking-sheet,7063,Non-Stick Cookie Baking Sheet (Large Size),Default Title,,,,,7063_BKT_17X12In_16,,,33
7062-non-stick-cookie-baking-sheet,7062,Non-Stick Cookie Baking Sheet,Default Title,,,,,7062_BKT_15X10In_10,,,25
8065-silicone-round-cake-baking-moulds,8065,Silicone Round Cake Baking Mould (1Pc Only),Default Title,,,,,8065_1Pc_Round_Cake_Mould,,,30
silicone-heart-shape-silicone-bakeware-cake-mold-cupcake-muffin-mould-pack-of-1,8064,Silicone Heart Shape Silicone Bakeware Cake Mold Cupcake/Muffin Mould  (Pack of 1),Default Title,,,,,8064_1Pc_Big_Heart_Mold,,,0
8063w-bubble-ring-game-and-bubble-ring-toy-specially-designed-for-all-types-of-kids,8063,Water Bubble Ring Game and Bubble Ring Toy Specially Designed for All Types of Kids.,Default Title,,,,,8063_W_Bubble_Ring_Game,,,195
0525b-wiper-for-cleansing-and-wiping-of-all-kinds-of-wet-and-dry-floor-surfaces,525,B Wiper for cleansing and wiping of all kinds of wet and dry floor surfaces.,Default Title,,,,,0525B_Magic_Broom_Wiper,,,83
7053-aluminium-cake-mould-cake-baking-tray-1,7053,Aluminium Cake Mould Cake Baking Tray,Default Title,,,,,7053_BKT_15X10in_12,,,75
8062-mix-design-squid-game-halloween-costume-cosplay-mask-for-kids-1-pc-only-1,8062,Mix Design Squid Game Halloween Costume Cosplay Mask for kids (1 Pc Only),Default Title,,,,,8062_Mix_Squid_G_Mask_1Pc,,,72
0338a-snore-free-nose-clip-anti-snoring-device-1pc,338,A Snore Free Nose Clip (Anti Snoring Device) - 1pc,Default Title,,,,,0338A_Nose_Clip,,,1247
7061-non-stick-cookie-baking-sheet,7061,Non-Stick Cookie Baking Sheet,Default Title,,,,,7061_BKT_17X11In_19,,,21
