category,MRP,product code,product name,WEIGHT,Cost per item,ship,DISCOUNT,selling rate,GST,selling rate excl gst,image,,,,,,,,,,,,,,,
Watch,305,1808,1808 Unique & Premium Analogue Watch White Print Multi colour Dial Leather Strap (Watch 8),81,65,42,10,275,18,233,https://cdn.shopify.com/s/files/1/1916/9825/products/10_w_2_406377ca-474c-4516-b339-10ebc10200a9.jpg?v=1606577824,,,,,,,,,,,,,,,s
Watch,305,1814,1814 Unique & Premium Analogue Watch Ironman Print Multicolour Dial Leather Strap (Watch 14),81,65,42,10,275,18,233,https://cdn.shopify.com/s/files/1/1916/9825/products/hanuman_10_1_dc86b60a-0030-4bf2-a6fd-ef8bf5f0ad21.jpg?v=1606577849,,,,,,,,,,,,,,,
Watch,305,1810,1810 Unique & Premium Analogue Watch Hanuman Print Multicolour Dial Leather Strap (Watch 10),81,65,42,10,275,18,233,https://cdn.shopify.com/s/files/1/1916/9825/products/watch_4_1_3c173a52-7746-452a-aae7-4969d4b43cba.jpg?v=1606577831,,,,,,,,,,,,,,,
Watch,305,1804,1804 Unique & Premium Analogue Black Dial stylish Leather Strap watch (Watch 4),81,65,42,10,275,18,233,https://cdn.shopify.com/s/files/1/1916/9825/products/watch_9_1_5166d598-9319-4f21-a4b9-32199a0595fa.jpg?v=1606577837,,,,,,,,,,,,,,,
Watch,305,1806,1806 Unique & Premium Analogue Watch Plain Black dial stylish watch (Watch 6),81,65,42,10,275,18,233,https://cdn.shopify.com/s/files/1/1916/9825/products/watch9_13_1_817401e6-b127-4254-80d5-b57b9f5871c3.jpg?v=1606577859,,,,,,,,,,,,,,,
Watch,305,1813,1813 Unique & Premium Analogue Watch Lines with black Dial Leather Strap (Watch 13),81,65,42,10,275,18,233,https://cdn.shopify.com/s/files/1/1916/9825/products/shiv_3_1_4d65849f-c490-4d15-9a75-0e66a1951ea0.jpg?v=1606577827,,,,,,,,,,,,,,,
Watch,305,1803,1803 Unique & Premium Analogue Watch Lord Shiva Print Multicolour Dial Leather Strap (Watch 3),81,65,42,10,275,18,233,https://cdn.shopify.com/s/files/1/1916/9825/products/apnty_7_1_759b5a4d-f9f7-4f01-a501-b3c894050d26.jpg?v=1606577840,,,,,,,,,,,,,,,
Watch,305,1807,1807 Unique & Premium Analogue Watch Apna Time Ayega Print Multicolour Dial Leather Strap (Watch 7),81,65,42,10,275,18,233,https://cdn.shopify.com/s/files/1/1916/9825/products/army_5_1_a4f0d69f-4493-47a3-ab73-48052ffc756f.jpg?v=1606577834,,,,,,,,,,,,,,,
Watch,305,1805,1805 Unique & Premium Analogue Watch Army Print Multicolour Dial Leather Strap (Watch 5),81,65,42,10,275,18,233,https://cdn.shopify.com/s/files/1/1916/9825/products/mahadev_w_1_19aeca5e-0216-40de-a39d-fe8c8f70a198.jpg?v=1606577846,,,,,,,,,,,,,,,
Watch,305,1809,1809 Unique & Premium Analogue Watch MAHADEV Print Multicolour Dial Leather Strap (Watch 9),81,65,42,10,275,18,233,https://cdn.shopify.com/s/files/1/1916/9825/products/hero_dad_12_1_23094990-c7fa-4a4a-ad76-dbf3fcf7f349.jpg?v=1606577855,,,,,,,,,,,,,,,
Watch,305,1812,1812 Unique & Premium Analogue Watch I have a HERO I call him DAD Print Multicolour Dial Leather Strap (Watch 12),81,65,42,10,275,18,233,https://cdn.shopify.com/s/files/1/1916/9825/products/3_11_1_20faf725-f983-4d2e-a0c7-7cfe550ab8eb.jpg?v=1606577852,,,,,,,,,,,,,,,
Watch,305,1811,1811 Unique & Premium Analogue Watch Black and Orange Print Multicolour Dial Leather Strap (Watch 11),81,65,42,10,275,18,233,https://cdn.shopify.com/s/files/1/1916/9825/products/watch1_1_a9c86609-9e90-4ce2-9b6e-ac19e019a343.jpg?v=1606577821,,,,,,,,,,,,,,,
Watch,305,1801,1801 Unique & Premium Analogue Watch Denim Blue Print Dial Leather Strap (Watch1),81,65,42,10,275,18,233,https://cdn.shopify.com/s/files/1/1916/9825/products/1_3f2a16dc-0747-4e42-8908-87a67d4f65c2.jpg?v=1606577865,,,,,,,,,,,,,,,
Watch,528,1815,1815 Unique & Premium Analogue Watch Coffee color dial with eagle stylish watch (Watch 15),81,65,42,40,317,18,268,https://cdn.shopify.com/s/files/1/1916/9825/products/7206.jpg?v=1625755656,,,,,,,,,,,,,,,
